Lidepla,Type,English,Russian,Source
flaisa ,kwo, (kwo) flight,,
al flaisa ,," in flight, in the air, on the wing",,
en-flai ,zwo," (zwo) fly up, take off",,
en-flaisa ,kwo, (kwo) take-off,,
flakon ,kwo," (kwo) flacon, vial, phial","флакон, пузырёк, небольшая бутылочка",
flama ,kwo," (kwo) flame, blaze","пламя; flama-ney пламенный; flami пламенеть, пылать; flami-she пылающий; mah-flami, flamisi воспламенить; flamifi воспламениться; flamifa самовоспламенение; flama-lisan языки пламени; flamiser воспламенитель",
flama-lisan ,, tongues of flame,,
flama-ney ,kwel, (kwel) fiery,,
flami ,zwo," (zwo) flame, blaze",,
flami-she ,kwel, (kwel) flaming,,
flaming ,kwo," (kwo) flaming, blazing",,
flamisi (mah-flami) ,zwo," (zwo) kindle, ignite, blaze up, produce flame",,
flamifi (fa-flami) ,zwo," (zwo) ignite, catch fire, burst into flames, take fire, blaze up",,
flamiser ,kwo, (kwo) igniter,,
flamingo ,kwo, (kwo) flamingo,фламинго,
flani ,zwo," (zwo) hang around; loaf, loiter about","слоняться, бродить, фланировать, бездельничать",
flaner ,kwo, (kwo) loafer,,French
flanke ,kwel," (kwel) side, flank, lateral","боковой; flanka бок, боковая часть; склон: montaflanka - склон горы; a flanka вбок; flankem боком",
flanka ,kwo," (kwo) flank, side",,
montaflanka ,, mountainside,,
a flanka ,, sideways,,
flankem ,komo, (komo) sideways,,
flanken ,, (konekti-komo) at the flank or side (of),сбоку: lu es flanken он сбоку; flanken dom ye garden сбоку от дома сад,
es flanken ,, it's at the flank,,
es flanken dom ,, it's at the side of the house,,
flasha ,kwo, (kwo) flash (blaze),вспышка; flashi вспыхнуть; foto-flasha фотовспышка; bliza-flasha вспышка молнии,
foto-flasha ,, photo flash,,
bliza-flasha ,, a flash of lightning,,
flashi ,zwo," (zwo) flash, flare",,
flat ,kwo," (kwo) flat, apartment",квартира,
flauta ,kwo, (kwo) flute,флейта,Portuguese
flecha ,kwo, (kwo) arrow,"стрела, стрелка; arku e flechas лук и стрелы; indikiflecha — указательная стрелка; flechadan — колчан",
arku e flechas ,, bow and arrows,,
indikiflecha ,, pointer index,,
flechadan ,kwo, (kwo) quiver (container for arrows),,Spanish
flesh ,kwo, (kwo) flesh (the soft parts of the body; the physical being),плоть; мякоть (мяса),
flexi ,zwo," (zwo) bend, curve, flex","гнуть, сгибать; flexa сгибание; изгиб, выгиб, прогиб (тж.flexitura); flexibile гибкий, гнущийся",
flexa ,kwo, (kwo) bending; bend; flexion,,
flexitura ,kwo," (kwo) bend, curve (result of bending)",,
flexibile ,kwel, (kwel) flexible,,
flirti ,zwo, (zwo) flirt (play at courtship),флиртовать; flirta флирт,
flirta ,kwo, (kwo) flirting,,
fliti ,zwo," (zwo) whisk, flit, dart, slip (expresses a sudden quick movement)","юркнуть, шмыгнуть; промелькнуть",English
flok ,kwo," (kwo) flock, lock; flakes","клочок, клок (например шерсти); хлопья; lignaflok стружка; flok de tuman клочья тумана",
lignaflok ,," shavings, chips",,
flok de tuman ,, ribbons of mist,,
flor ,kwo, (kwo) flower,цветок; flori цвести; floring цветение,
flori ,zwo," (zwo) flower, bloom, blossom",,
floring ,kwo," (kwo) flowering, florescence, blossoming, blooming",,
flordan ,kwo, (kwo) flowerpot,,
flora ,kwo, (kwo) flora,флора,
flot ,kwo, (kwo) fleet,флот,Russian
floti ,zwo, (zwo) float (be afloat; drift),"держаться на воде (о предметах), плыть (по течению, в воздухе); flotika поплавок; нечто плавучее",
flotika ,kwo, (kwo) float (something that floats),,
flotilia ,kwo, (kwo) flotilla,флотилия,
flui ,zwo, (zwo) flow,"течь; литься; fluisa течение; hwan lif floti nich fluisa жёлтые листья плывут вниз по течению; flui-geti затекать (куда-л.); flui-she текущий, текучий; беглый (о речи); flui-shem бегло",
fluisa ,kwo, (kwo) flow,,
hwan lif floti nich fluisa ,, yellow leaves floated down,,
flui-she ,kwel," (kwel) flowing, fluent",,
flui-shem ,komo, (komo) fluently,,
fluor ,kwo, (kwo) fluorine (chem.),фтор,
fo ,konekti," (konekti) 1) for (the object, aim, or purpose)","1) для; чтобы: es fo yu – это для тебя, me lai-te fo vidi yu – я пришёл, чтобы тебя увидеть; fo ke – для того чтобы (=dabe); 2) выражает временнóе отношение, на: fo kelke taim – на какое-то время; mita aranji-ney fo klok dwa встреча, назначенная на 2 часа ",
Es fo yu. ,, This is for you.,,
Me ve lai fo vidi ela. ,, I shall come to see her.,,
fo ke ,," in order to (see also ""dabe"")",,
fo,,2) for (duration or a specific time),"1) для; чтобы: es fo yu – это для тебя, me lai-te fo vidi yu – я пришёл, чтобы тебя увидеть; fo ke – для того чтобы (=dabe); 2) выражает временнóе отношение, на: fo kelke taim – на какое-то время; mita aranji-ney fo klok dwa встреча, назначенная на 2 часа ",
Ob me mog pren yur kitaba fo kelke taim? ,, May I take your book for some time?,,
Nu he aranji sey mita fo klok dwa. ,, We have arranged this meeting for two o'clock.,,
fo manya ,, for tomorrow,,Bislama
fobi ,zwo," (zwo) fear, be afraid","бояться; foba страх; fobisi пугать; fobisa запугивание; en-fobi испугаться; foba-ney страшный; fobisi-she пугающий; fobishil боязливый; fobnik трус; -fobista ""фоб"": inglish-fobista англофоб; rasfobisi распугать; sinfoba-ney бесстрашный; prefoba опасение; suy prefoba bu realifi - его опасения не оправдались",
foba ,kwo," (kwo) fear, fright",,
prefoba ,kwo," (kwo) misgiving, apprehension",,
fobisi ,zwo," (zwo) frighten, scare, intimidate",,
rasfobisi ,, scare/frighten away,,
fobisa ,kwo, (kwo) intimidation,,
en-fobi ,zwo," (zwo) take fright, get frightened",,
foba-ney,kwel," (kwel) terrible, frightful",,
fobisi-she ,kwel, (kwel) frightening,,
fobishil ,kwel," (kwel) timid, timorous",,
fobnik ,kwo, (kwo) coward,,
sinfoba-ney ,kwel," (kwel) fearless, intrepid",,
-fobista ,, -phobe,,Greek
fogera ,kwo, (kwo) bonfire,костёр,Portuguese
fogeti ,zwo, (zwo) forget,забывать; fogeta забвение; fogetishil забывчивый,
fogeta ,kwo, (kwo) oblivion,,
fogetishil ,kwel, (kwel) forgetful,,
fok ,kwo, (kwo) seal (animal ,тюлень,Turkish
fon1 ,konekti, (konekti) from; of (from among),,
Me zai go fon teatra ,, I am going from the theatre.,,
Me he resivi se fon lu. ,, I have received this from him.,,
fon kapa til pedas ,, from head to foot,,
fon sabah til aksham ,, from morning till evening,,
un fon nu ,, one of us,,
fon2 ,kwo," (kwo) phone, telephone (shortening of ""telefon"")",,
Hu-ney fon zai baji? ,, Whose phone is ringing?,,
fonda ,kwo," (kwo) background (but not person's experience, training, or education)",фон,
fonetika ,kwo, (kwo) phonetics,фонетика; fonetike фонетический,
fonetike ,kwel, (kwel) phonetic,,
fonologia ,kwo, (kwo) phonology,фонология; fonologike фонологический,
fonologike ,kwel, (kwel) phonological,,
fontan ,kwo," (kwo) fountain, jet, spout",фонтан; fontani фонтанировать,
fontani ,zwo, (zwo) fountain,,
for ,," (syao-komo) further, on (continuing an action)","дальше, далее (продолжение действия). Fai for - продолжать. Treba gun for! – Надо продолжать работу! Hao for-gunsa! – Хорошего продолжения работы! Me bu yao resti hir, me sal go for. – Я не хочу оставаться здесь, я собираюсь идти дальше (продолжать путь). E tak for – и так далее. For-ney дальнейший; in lo for в дальнейшем, далее",
fai for ,," continue, go on",,
Treba gun for! ,, One should work on!,,
Hao for-gunsa! ,, I wish you good luck on your further work.,,
"Me bu yao resti hir, me sal go for. ",," I don't want to stay here, I am going to go on.",,
e tak for (etf.) ,, and so on,,
for-ney ,kwel," (kwel) further, following",,
lo for ,, what goes further,,
in lo for ,, in what follows,,
fora ,kwo, (kwo) furrow,борозда,See also: ruga
forji ,zwo, (zwo) forge (metals),ковать; forjing ковка; forjer кузнец; forjidom кузница,
forjer ,kwo," (kwo) forger, smith",,
forjidom ,kwo," (kwo) smithy, forge",,
forma ,kwo," (kwo) form, shape",форма; formi формировать(ся); forming формирование; formitura формация (тж.formasion),
formi ,zwo," (zwo) form, shape",,
forming ,kwo," (kwo) forming, formation (act or process)",,
formitura ,kwo, (kwo) formation (result),,
formale ,kwel, (kwel) formal,формальный,
format ,kwo, (kwo) format (of publication; of data),формат (книги; данных); formati форматировать; formati-ney (formaten) форматированный,
formati ,zwo, (zwo) format,,
formati-ney (formaten) ,kwel, (kwel) formatted,,
formula ,kwo, (kwo) formula,формула; formuli формулировать; formuling формулирование,
formuli ,zwo, (zwo) formulate,,
formiling ,kwo, (kwo) formulation,,
forna ,kwo," (kwo) stove, furnace; kiln","печь, печка; плита; gas-forna газовая плита; el-forna электрическая плита",
gas-forna ,kwo, (kwo) gas stove,,
el-forna ,kwo, (kwo) electric stove,,
forsa ,kwo, (kwo) force,"сила; forsi брать силой; принуждать силой, заставлять; форсировать; forsi-ofni dwar взломать дверь; forsing принуждение; форсирование; forsi-ney (forsen) принуждённый; forsen smaila деланная улыбка",
forsi ,zwo, (zwo) force; compel,,
forsi-ofni dwar ,, force a door open,,
