UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
avispasi,aérospatial,,,,,
avistasia,aérogare,,,,,
avìz,avis (notification),notice,,,,
avizad,"avis, avertissement",,,,,
avìzo,aviser,warn (to),avisar,warnen,предупреждать,"avvertire, avvisare"
avo,avoir,have,haber,haben,иметь,avere
avo sta,"avoir lieu, se dérouler",take place (to),tener lugar,stattfinden,"происходить, иметь место",aver luogo
avodad,arrosage,,,,,
avodo,arroser (plante),water (to),,,,
avòk,annonce (orale),,,,,
avokad,allocution,speech (short),,,,
avokàt,avocat (juriste),barrister,abogado,Rechtsanwalt (m),адвокат,avvocato
avokato,"prôner, parler en faveur de",,,,,
avoko (ekwa) avoko a (ekun),"annoncer (qqch), s'adresser à (qqun)",,,,,
aw !,aïe !,,,,,
awakàt,avocat (fruit),,,,,
awakatar,avocatier,,,,,
awarad,alourdissement,,,,,
awaro,alourdir,heavy (to make -),,,,
azàt,"de coté, à part",,,,,
azato,"mettre de côté, écarter",,,,,
azàv,"annonce, avis",notice,aviso,"Anzeige,Ankündigung","уведомление, анонс","avviso, annunzio"
azavo,faire savoir,,,,,
Azia,Asie,Asia,Asia,Asien,Азия,Asia
Azian (adj. & N) Aziana (fem.),Asiatique,,,,,
azìl,asile (polit.),asylum (pol.),,,,
azilen,réfugié,,,,,
azili,d'asile,,,,,
azilia,asile (lieu),,,,,
azilicekor,demandeur d'asile,,,,,
azilipragor,demandeur d'asile,,,,,
azuli,"bleu-ciel, azur, d'azur",azure,azul (claro),himmelblau,лазурный,azzurro
aʒivad,animation,"animation, liveliness",,,,
aʒiven,animé,"lively, animated",,,,
aʒivo,animer,"animate, liven up (to)",,,,
aʒudad,adjudication,,,,,
aʒudo,adjuger,,,,,
ba,mais,but,pero,aber,"но, а",ma
ba pur,toutefois,"nonetheless, however",,,,
bab,fève,broad bean,,,,
babi,de fèves,broad bean- (adj.),,,,
bablad,babil,babble (N),,,,
bablo,babiller,babble (to),,,,
babòrd,babord,"port, larboard",,,,
bag,"sac (en cuir, etc…)",bag,bolsa,Tasche (f),"мешок, сумка",borsa
bagad,bagages,luggage,equipaje,Gepäck (n),багаж,bagaglio
bagaria,consigne (bagages),left luggage,consigna (equipajes),Gepäckaufbewahrung,камера хранения,deposito bagagli
baget,baguette (pain),"baguette, French loaf",,,,
bagispàs,coffre à bagages (voiture),"boot, luggage compartment",,,,
bah,bof (interj. indifférence),,,,,
baj,baie (mer),bay,bahía,Buchte,бухта,baia
bak,"réservoir, bac",tank,,,,
baklàw,morue,cod,,,,
bakòn,bacon,bacon,,,,
bakteric,bactérien,bacterial,,,,
bakterij,bactérie,bacterium,,,,
bakteriologic,bactériologique,bacteriological,,,,
bakteriologij,bactériologie,bacteriology,,,,
bal,"balle, ballon, boule",ball,pelota,Ball (m),мяч,palla
bala,bal,ball (dance),,,,
balad,ballade,ballad,,,,
balbad,balbutiement,"mumbling, stammering",,,,
balbàt,bégaiement,"stammering, stuttering",,,,
balbati,bègue (adj),stammering (adj.),,,,
balbato,bégayer,stutter (to),tartamudear,"stootern, stammeln",заикаться,balbettare
balbator,bègue (N),"stutterer, stammerer",,,,
balbo,balbutier,"mumble, stammer (to)",,,,
balbujo,bafouiller,"mumble, stammer out (to)",,,,
baldakin,baldaquin,"canopy, baldachin",,,,
baldi,"hardi, audacieux",bold,,,,
baldid,"hardiesse, audace",boldness,,,,
baldivo,s'enhardir,"bolder (to get -), make so bold as",,,,
baldizo,"enhardir (trans), donner de l'audace",embolden,,,,
balet,ballet,ballet,,,,
baletor,danseur (de ballet),ballet-dancer,,,,
baletora,ballerine,ballerina,,,,
balibrekor,"casse-pieds, casse-couilles",,,,,
balk,poutre,"beam, rafter",viga,Balken (m),"балка, брус",trave
balkòn,balcon,balcony,balcón,Balkon (m),балкон,balcone
balm,baume,balm,,,,
balmar,baumier,balm tree,,,,
balmi,balsamique,"balmy, balsamic",,,,
balnad,flânerie,,,,,
balni,flâneur (adj.),,,,,
balno,flâner,stroll (to),,,,
balnor,flâneur,"stroller, loafer, loiterer",,,,
balòn,ballon (aérostat),balloon,,,,
balu,de bal (adj),"ball-, dance- (adj.)",,,,
baluhàl,salle de bal,ballroom,,,,
balustrad,balustrade,"balustrade, handrail",,,,
balʒàn,aubergine,"eggplant, aubergine",,,,
bam,boum (bruit),bang,,,,
bama,marraine (langage enfantin),godmother (child talk),,,,
bambù,bambou,bamboo,,,,
ban,bain,bath,baño,Bad,"ванна, баня, купание",bagno (1)
banad,baignade,"bathing, swimming",,,,
banal,banal,trivial,banal,"alltäglich, banal",банальный,banale
banalad,banalité,,,,,
banàn,banane,banana,plátano,Banane (F),банан,banana
bananar,bananier (arbre),banana tree,,,,
bananaria,bananeraie,banana plantation,,,,
banani,"bananier, -e, (adj.), de banane",banana- (adj.),,,,
bananinàv,bananier (bateau),,,,,
banar,baignoire,bathtub,bañera,Badewanne,ванна (сосуд),vasca da bagno
banc,banc,bench,"banco de madera, …)",Bank,скамейка,banco
band,"bande (papier, tissu, métal, orchestre), bandeau (gen.)",band,"faja, banda, cinta","Band, Bande",полоса,"fascia, banda, nastro"
banda,"bande (groupe, gang)","band, gang",,,,
bandèl,bannière,banner,"bandera, pendón",Banner,"баннер, знамя",bandiera
bandìt,bandit,bandit,bandido,Bandit,бандит,bandito
bandivèrm,ver solitaire,tapeworm,,,,
bani,"de bain, balnéaire (adj.)","bath-, bathing (adj.)",,,,
bania,salle de bains,bathroom,cuarto de baño,Badezimmer (n),ванная,bagno (2)
banikabin,cabine de bain,bathing hut,,,,
baniroba,peignoir,bathrobe,,,,
banisalt,sel de bain,,,,,
banistà,sation balnéaire,seaside resort,estación balnearia,Badeort,морской курорт,stazione balneare
"banitovel, pl -vle",serviette de bain,,,,,
banivèst,maillot de bain,,,,,
bank,banque,bank,banco (de crédito),Bank (f),банка,banca
banket,banquet,banquet,,,,
banki,"bancaire, de banque (adj.)","bank-, banking (adj)",,,,
bankikont,compte en banque,bank account,cuenta bancaria,Bankkonto,счёт в банке,conto bancario
bankinot,billet (de banque),banknote,billete (de banco),"Geldschein, Banknote",денежная купюра,banconota
bankor,banquier,banker,,,,
bankròt,"faillite, banqueroute",bankruptcy,"quiebra, bancarrota","Konkurs, Bankrott",банкротство,"fallimento, bancarotta"
bankroten,en faillite (adj.),,,,,
bankroto,"faire faillite, ruiner, se ruiner (financièrement)",bankrupt (to go -),,,,
"bano, sia bano","baigner, (se - )",,,,,
"banor , -a","baigneur (qui se baigne), baigneuse",,,,,
bapa,parrain (langage enfantin),godfather (child talk),,,,
baptidota,filleule,goddaughter,,,,
baptimata,marraine,godmother,madrina,Patin,krizis,crisi
"baptipater, pl. -tre",parrain,,,,,
Baptisma,Baptisme,Baptism,,,,
baptisòn,filleul,godson,,,,
Baptìst,Baptiste,Baptist,,,,
baptizad,baptême,"baptism, christening",,,,
baptizi,"baptême (de - ) , (adj.) baptismal",baptismal,,,,
baptizia,baptistère,,,,,
baptìzo,baptiser (relig.),baptize (to),bautizar,taufen,крестить,battezzare
baptizor,baptiste (celui qui baptise),baptiste,,,,
bar,"barre (gen. tige, tribunal), barreau",bar (pub),,,,
bar 2,"bar (café, comptoir)",bar (rod),,,,
baràk,baraque,"shanty, booth, shed",,,,
barànd,rampe (escalier),handrail,,,,
barb,barbe,beard,barba,Bart (m),борода,barba
barbàr,barbare (N),barbarian,,,,
barbari,barbare (adj.),barbaric,,,,
barbaric,"barbare (sauvage, cruel…)",,,,,
barbarid,barbarie,"barbarism, barbarity",,,,
barbarij,"barbarie, cruauté",,,,,
barben,barbu (adj. & N),bearded (man),,,,
barbi,de barbe (adj.),beard- (adj.),,,,
barbin,barbeau (poisson),barbel (fish),,,,
barbipate,favoris,"sideburns, sideboards",,,,
barbit,barbiche,goatee,,,,
barbor,barbier,barber,,,,
bard,fardeau,burden,,,,
bardibest,bête de somme,pack animal,,,,
barèl,"brancard, civière","stretcher, hand-barrow",,,,
barelor,brancardier,stretcher bearer,,,,
barièr,barrière,barrier,barrera,"Schranke, Sperre",барьер,barriera
barikad,barricade,barricade,,,,
baritòn,baryton,baritone,,,,
bark,barque,"boat, bark",barca,"Kahn, Boot, Barke",лодка,barca
barn,bélier,"ram, Aries",,,,
baroki,baroque,baroque. (adj.),,,,
barometer pl. -tre,baromètre,,,,,
"baròn, barona","baron, -ne",,,,,
baronia,baronnie,barony,,,,
"bars, barsa","ours, -e",,,,,
barsi,d'ours adj.,bear- (adj.),,,,
barsic,"bourru, grognon","gruff, surly, grumpy, grouchy",,,,
barsidikor,montreur d'ours,bear leader,,,,
barsipèl,bonnet à poils,bearskin,,,,
barsit,ourson,bear cub,,,,
barʒ,"péniche, barge, chaland",barge,,,,
barʒor,batelier,bargee,,,,
basa,basse (N. musique),bass (music),,,,
basad,"jet, action de lancer","throw, throwing (N)",,,,
basilika,basilique,basilica,,,,
basin,bassin,basin,,,,
baso (sia),lancer (gen.) ( se - ),,,,,
baso ap,larguer,cast off (to),,,,
baso op,lancer en l'air,cast up,,,,
baso ru,renvoyer (balle),throw back (to),,,,
bast,"bâton, canne","stick, staff, rod","palo, bastón","Stock, Stab, Prügel (m)",палка,bastone
bastad,"bastonnade, coups de bâton","drubbing, caning",,,,
bastàrd,"bâtard, salaud (N)",bastard (N),,,,
bastardi,bâtard (adj),bastard- (adj.),,,,
bastardid,bâtardise,bastardy,,,,
bastim,à coups de bâton,sticks (with -),,,,
bastiòn,bastion,"bastion, stronghold",,,,
bastit,"bâtonnet, petit bâton","rod, stick (short - )",,,,
basto,bâtonner,beat with a stick (to),,,,
bastòn,matraque,"baton, truncheon",,,,
basu,basse (adj.),bass- (adj.),,,,
bat,bateau (petit),boat,barco,Boot (n),"лодка, судно",battello
bataliòn,bataillon,battalion,,,,
batrij,"pile, batterie, accumulateur",battery,"pila, bateria",Batterie (f),батарея,batteria
"baw, bawad",aboiement (s),,,,,
bawo,aboyer,bark (to),ladrar,bellen,"лаять, гавкать",abbaiare
baz,base (gen.),basis,base,Grundlage,"основа, базис",base
bazàr,bazar,,,,,
bazi,"de base, fondamental",basic,,,,
bazia,base (militaire),base (milit.),,,,
bazìl,basilic,basil,,,,
bazim,"fondamentalement, à la base, au fond",basically,,,,
bazo (sia - su),"baser, se baser sur",,,,,
be,"à (position, temps), par (distributif)",at,en,"an, zu...","на, в, у",a
be dom,"chez soi, à la maison",at home,,,,
"be, be dom… -i",chez (qqun),,,,,
"beb, (fem.) beba",bébé,,,,,
bebi,de bébé (adj.),baby- (adj.),,,,
bebicera,puéricultrice,,,,,
bebicerad,puériculture,,,,,
bebinura,nourrice,wet nurse,,,,
bebisèl,chaise de bébé,baby chair,,,,
bebit,"poupon, petit bébé",,,,,
bebivag,"landau, voiture d'enfant",pram,,,,
beblatad,baratin,"sweet talk, smooth talk",,,,
beblato,baratiner,"sweet-talk (to), to chat up",,,,
bebònd,au fond de,bottom (at the - ),,,,
becamad,action d'ombrager,"shadowing, shading",,,,
becamèl,sauce béchamel,bechamel,,,,
becamo,ombrager,"shade (to), to shadow",,,,
becelad,dissimulation,concealment,,,,
becelo,dissimuler,conceal (to),,,,
becepad,réception (d'une chose),"receipt, receiving",,,,
becepli,recevable,receivable,,,,
becepo,recevoir (qqch),receive (to),recibir,"bekommen, erhalten",получать,ricevere
becepor,"receveur, celui qui reçoit",receiver (person),,,,
becerad,action de choyer,"pampering, indulging",,,,
becero,choyer,"pamper (to), to indulge",,,,
becizad,décision,decision,decisión,"Entscheidung,Beschluß",решение,decisione
becizi,décisif,decisive,,,,
becizo,décider,decide (to),,,,
becizor,décideur,decision maker,,,,
becurad,adjuration,"beseeching, entreaty",,,,
becuro,"adjurer, conjurer, supplier","adjure, beseech, entreat",,,,
bedavad,dévouement,"dedication, commitment",,,,
bedaven,dévoué,"dedicated, devoted, committed",,,,
"bedavo, (sia -)","se consacrer, se dévouer",,,,,
"bedel, pl. bedle",bedeau,beadle,,,,
bedigad,mendicité,begging (N),,,,
bedigan,mendiant (adj.),"begging, mendicant (adj.)",,,,
bedigo,mendier,beg (to),,,,
bedigo po,quémander,,,,,
"bedigor, -a","mendiant, -e (N)",,,,,
bedikad,démonstration,"demonstration, show",,,,
bediki,démonstratif,demonstrative,,,,
bedikim,manifestement,"demonstrably, manifestly",,,,
bediko,démontrer,"demonstrate, show (to)",,,,
bedutad,"comportement, conduite",behaviour,comportamiento,"Benehmen, Verhalten",поведение,condotta
beduto,"se conduire, se comporter",behave (to),"portarse, conducirse",benehmen/führen(sich),вести себя,"condursi, comportarsi"
"bedwìn, -a","bédouin, -e N",Bedouin (N),,,,
bedwini,bédouin adj.,Bedouin (adj.),,,,
befaren,fréquenté (par des véhicules),busy (road: full of vehicles),,,,
befarli,carrossable,passable (road),,,,
befaro,"parcourir, circuler en véhicule","cover (distance), drive over",,,,
befènd,enfin,last (at),por fin,"endlich, schließlich",наконец,"infine, alla fine"
befendad,détermination,"determination, determining",,,,
befendan,déterminant,determinant,,,,
befenden,"défini, déterminé (gen. & gram.)","definite, determinate",,,,
befendi,définitif,definitive,,,,
befendim,définitivement,"once and for all, for good",,,,
befendo,"déterminer, définir",determine (to),determinar,"festlegen,bestimmen",определять,determinare
befindo,se trouver,"located, situated (to be -)",,,,
befistad,consolidation,consolidating (N),,,,
befisto,consolider,consolidate,,,,
beflagad,pavoisement,decking with flags,,,,
beflago,pavoiser,deck with flags,,,,
befòr,"d'avance, au préalable, auparavant","beforehand, previously",,,,
begarad,conservation,"keeping, preservation",,,,
begaro,conserver,"preserve, conserve",conservar,"bewahren, erhalten","сохранять, сберегать",conservare
beglizad,"aperçu, perception",catching a glimpse,,,,
beglizli,"perceptible, qu'on peut apercevoir","perceptible, able to be seen",,,,
beglizo,apercevoir,catch a glimpse of (to),,,,
begòn,"au contraire, en revanche",contrary (on the),contrario (al),Gegenteil (im),наоборот,contrario (al)
begonia,bégonia,begonia,,,,
begripo,"s'agripper à, s'accrocher à","cling to, grip",,,,
begùr,convoitise,"craving, covetousness",,,,
beguro,convoiter,"covet (to), crave",,,,
begustad,dégustation,"tasting, degustation",,,,
begusto,déguster,savour (to),,,,
begustor,dégustateur,,,,,
beh,bê (bêlement),baa,,,,
bej,abeille,bee,abeja,Biene (f),пчела,ape
bejamad,lamentation,"lament, moaning",,,,
bejamli,lamentable,lamentable,,,,
bejamo,lamenter (se -),"bewail, lament (to)",,,,
bejar,ruche,bee hive,,,,
beji,"d'abeille, apicole",,,,,
beji swam,essaim d'abeilles,,,,,
bejingresad,apiculture,beekeeping,,,,
bejiraja,queen bee,,,,,
"bejor, bejingresor",apiculteur,,,,,
bejùt,"annexe (livre, etc.)",annex,,,,
bejutad,annexion (ajout),annexation,,,,
bejuto,"annexer, mettre en annexe",annex (to) (occupy),,,,
bek,bec (oiseau),"beak, bill",pico,Schnabel (m),клюв,becco
bekad,coup de bec,peck (stroke with beak),,,,
bekestad,contestation,"contestation, disputing",,,,
bekestan,contestataire (adj.),"protesting, oppositional",,,,
bekestili,"contestable, discutable",questionable,,,,
bekesto,contester,question (to),,,,
bekestor,contestataire (N),protester,,,,
bekìrk,district,district,,,,
bekito,"donner des petis coups de bec, picorer",peck lightly (to),,,,
beklamad,action de déplorer,lamentation,,,,
beklamli,déplorable,deplorable,,,,
beklamo,déplorer,deplore (to),,,,
beko,becqueter,,,,,
beko op,picorer,,,,,
bekonad,"notoriété, célébrité",notoriety,,,,
bekonen,"bien connu, célèbre, notoire","famous, well-known","famoso, célebre",berühmt,"известный, знаменитый",celebre
bekòz,à cause de,because of,causa de (a - ),wegen,"по причине, вследствие",causa di (a)
bekratad,confirmation,confirmation,,,,
bekrato,confirmer,confirm (to),,,,
bekrovad,action de recouvrir,covering (up,,,,
bekrovo,recouvrir (couvrir entièrement),"cover, cover up (to) (thing)",,,,
bel,"beau, belle",beautiful,"hermoso, bello, guapo",schön,красивый,bello
bel arte,beaux-arts,fine arts,,,,
bela,une belle,"beauty, belle",,,,
belad,beauté,beauty,"belleza, hermosura",Schönheit,красота,bellezza
beladi salòn,salon de beauté,beauty parlour,,,,
belarli,dérisoire,,,,,
belèʒ,dépôt (argent),deposit (money),,,,
beleʒad,application (pose),"application, applying",,,,
beleʒo,"appliquer (poser), déposer (argent)","apply (to). (spread, put on)",,,,
belfrìj,beffroi,belfry,,,,
"Belg, Belga","Belge (un, une)",,,,,
Belgi,belge (adj.),Belgian (adj.),,,,
Belgia,Belgique,Belgium,Belgica,Belgien,Бельгия,Belgio
beliamen,bien-aimé,,,,,
belic,plutôt beau,rather beautiful,,,,
belimitad,délimitation,delimitation,,,,
belimito,délimiter,,,,,
belivad,embellissement,growing in beauty,,,,
belivo,embellir (devenir beau),beautiful (to grow +),embellecer,verschönen (sich),красивой (стать - ),imbellire
belucad,illumination,"lighting, illumination",,,,
beluco,illuminer,light up (to),,,,
belucor,éclairagiste,lighting engineer,,,,
belvokad,éloquence,eloquence,,,,
belvokan,éloquent,eloquent,,,,
belvoki,éloquent,eloquent,,,,
belvokid,éloquence,,,,,
belvokim,avec éloquence (adv.),eloquently,,,,
belvokor,beau parleur,,,,,
belzoni,euphonique,euphonic,,,,
belzonid,euphonie,,,,,
bemàj,au plus,at most,,,,
bemarkili,remarquable,,,,,
bemarkilim,remarquablement,,,,,
bemarko,remarquer,notice (to),"notar, darse cuenta",bemerken,замечать,notare
bemenad,réflexion,"reflection, pondering",,,,
bemeno,réfléchir,reflect (to) ponder,,,,
bemezen,mesuré (personne),"measured, moderate, temperate",,,,
